rank	phenotype	cui	assoc in neigh	assoc in intom	probability	Benjamini-Hochberg	genes	
239	Adenocarcinoma, Endometrioid	C1569637	1	59	0.00020976615844836566	0.00033286908078	PTGS2
240	Ischemic Cerebrovascular Accident	C3272363	2	338	0.0002156996014631707	0.00033426183844	PTGS1,PTGS2
241	Shigella Infections	C0013371	1	60	0.00021695741424831994	0.0003356545961	PTGS2
242	Sarcoidosis, Pulmonary	C0036205	1	60	0.00021695741424831994	0.00033704735376	PTGS2
243	Adverse drug events and drug allergies	C0041755	1	60	0.00021695741424831994	0.000338440111421	PTGS2
244	Idiopathic Pulmonary Fibrosis	C1800706	2	341	0.00022138664184878643	0.000339832869081	PTGS1,PTGS2
245	Xerostomia	C0043352	1	61	0.00022426844786382905	0.000341225626741	PTGS2
246	Malignant neoplasm of the central nervous system	C0348374	1	61	0.00022426844786382905	0.000342618384401	PTGS2
247	Ovarian adenocarcinoma	C0948216	1	61	0.00022426844786382905	0.000344011142061	PTGS2
248	Pancreatic intraepithelial neoplasia	C1301034	1	61	0.00022426844786382905	0.000345403899721	PTGS2
249	Cognition Disorders	C0009241	1	62	0.0002316991603680263	0.000346796657382	PTGS2
250	Turcot syndrome	C0265325	1	62	0.0002316991603680263	0.000348189415042	PTGS2
251	Systemic Inflammatory Response Syndrome	C0242966	1	63	0.0002392494503042908	0.000349582172702	PTGS1
252	Breast Fibrocystic Disease	C0016034	1	64	0.00024691936236598266	0.000350974930362	PTGS2
253	Ovarian Serous Adenocarcinoma	C1335177	1	64	0.00024691936236598266	0.000352367688022	PTGS2
254	Early-Stage Breast Carcinoma	C2986665	1	64	0.00024691936236598266	0.000353760445682	PTGS2
255	Thyroid Nodule	C0040137	1	65	0.00025470873897770474	0.000355153203343	PTGS2
256	Angiogenic Switch	C1510885	1	65	0.00025470873897770474	0.000356545961003	PTGS2
257	Aqueous Humor Disorders	C0595936	1	66	0.0002626174780610002	0.000357938718663	PTGS2
258	aggressive cancer	C2945759	1	67	0.0002706456527689083	0.000359331476323	PTGS2
259	Malformation of cortical development	C1955869	1	68	0.0002787929616050455	0.000360724233983	PTGS2
